day,vehicle,CA,CB,CC,CD,CE
1,117,CA4,CB2,CC3,CD3,CE2
1,118,CA4,CB2,CC4,CD2,CE1
1,119,CA4,CB3,CC2,CD3,CE4
1,120,CA2,CB3,CC7,CD3,CE8
1,121,CA6,CB3,CC2,CD6,CE9
1,122,CA8,CB1,CC5,CD6,CE6
1,123,CA1,CB3,CC2,CD3,CE6
1,124,CA5,CB2,CC6,CD2,CE8
1,125,CA1,CB3,CC6,CD2,CE8
1,126,CA6,CB3,CC3,CD2,CE7
1,127,CA4,CB2,CC4,CD1,CE8
1,128,CA5,CB2,CC7,CD3,CE8
1,129,CA2,CB2,CC6,CD2,CE9
1,130,CA1,CB2,CC6,CD5,CE9
1,131,CA4,CB2,CC3,CD3,CE4
1,132,CA4,CB2,CC7,CD5,CE9
1,133,CA8,CB2,CC6,CD3,CE6
1,134,CA7,CB3,CC2,CD3,CE9
1,135,CA7,CB2,CC5,CD2,CE6
1,136,CA8,CB1,CC5,CD5,CE2
1,137,CA1,CB3,CC2,CD5,CE9
1,138,CA5,CB2,CC2,CD5,CE6
1,139,CA6,CB3,CC4,CD2,CE9
1,140,CA8,CB2,CC4,CD2,CE9
1,141,CA3,CB1,CC3,CD3,CE2
1,142,CA2,CB2,CC3,CD5,CE6
1,143,CA1,CB2,CC4,CD3,CE9
1,144,CA1,CB2,CC2,CD2,CE8
1,145,CA8,CB2,CC2,CD2,CE9
1,146,CA6,CB3,CC6,CD5,CE9
1,147,CA7,CB2,CC7,CD3,CE8
1,148,CA2,CB2,CC5,CD2,CE3
1,149,CA6,CB1,CC4,CD2,CE7
1,150,CA1,CB2,CC7,CD3,CE4
1,151,CA4,CB2,CC7,CD6,CE3
1,152,CA8,CB2,CC5,CD5,CE9
1,153,CA8,CB2,CC6,CD3,CE6
1,154,CA3,CB3,CC2,CD6,CE6
1,155,CA8,CB1,CC6,CD6,CE9
1,156,CA2,CB3,CC7,CD2,CE9
1,157,CA8,CB1,CC7,CD3,CE7
1,158,CA8,CB2,CC4,CD3,CE6
1,159,CA7,CB1,CC7,CD5,CE8
1,160,CA6,CB1,CC4,CD3,CE9
1,161,CA8,CB2,CC5,CD1,CE2
1,162,CA3,CB3,CC1,CD3,CE8
1,163,CA8,CB2,CC3,CD3,CE2
1,164,CA6,CB2,CC3,CD3,CE3
1,165,CA1,CB2,CC7,CD6,CE3
1,166,CA4,CB3,CC2,CD5,CE9
1,167,CA1,CB2,CC2,CD5,CE6
1,168,CA8,CB3,CC4,CD3,CE6
1,169,CA4,CB2,CC5,CD5,CE8
1,170,CA5,CB3,CC2,CD3,CE7
1,171,CA6,CB1,CC5,CD3,CE7
1,172,CA4,CB2,CC7,CD2,CE3
1,173,CA1,CB2,CC4,CD3,CE6
1,174,CA7,CB2,CC6,CD1,CE3
1,175,CA2,CB2,CC7,CD5,CE6
1,176,CA5,CB2,CC5,CD5,CE8
1,177,CA2,CB2,CC2,CD3,CE9
1,178,CA1,CB1,CC7,CD6,CE7
1,179,CA8,CB3,CC4,CD6,CE4
1,180,CA8,CB2,CC2,CD3,CE7
1,181,CA8,CB2,CC2,CD6,CE2
1,182,CA8,CB2,CC5,CD3,CE9
1,183,CA7,CB2,CC4,CD3,CE9
1,184,CA3,CB2,CC6,CD3,CE8
1,185,CA1,CB1,CC4,CD5,CE6
1,186,CA4,CB2,CC6,CD6,CE3
1,187,CA2,CB2,CC4,CD5,CE6
1,188,CA1,CB2,CC7,CD3,CE9
1,189,CA1,CB2,CC4,CD3,CE9
1,190,CA6,CB2,CC7,CD5,CE2
1,191,CA1,CB2,CC7,CD3,CE9
1,192,CA7,CB2,CC4,CD6,CE8
1,193,CA1,CB2,CC6,CD3,CE8
1,194,CA1,CB2,CC6,CD5,CE9
1,195,CA1,CB2,CC7,CD2,CE3
1,196,CA6,CB2,CC6,CD3,CE9
1,197,CA2,CB2,CC6,CD3,CE9
1,198,CA4,CB2,CC6,CD3,CE8
1,199,CA5,CB1,CC2,CD2,CE3
1,200,CA8,CB3,CC1,CD3,CE7
1,201,CA6,CB2,CC2,CD3,CE6
1,202,CA2,CB2,CC2,CD3,CE9
1,203,CA1,CB2,CC7,CD3,CE7
1,204,CA1,CB3,CC4,CD1,CE9
1,205,CA3,CB3,CC7,CD5,CE8
1,206,CA2,CB2,CC4,CD6,CE4
1,207,CA4,CB3,CC7,CD2,CE8
1,208,CA6,CB3,CC6,CD6,CE8
1,209,CA6,CB2,CC6,CD3,CE2
1,210,CA2,CB2,CC3,CD6,CE7
1,211,CA4,CB3,CC7,CD2,CE9
1,212,CA2,CB1,CC3,CD2,CE9
1,213,CA7,CB1,CC2,CD3,CE6
1,214,CA1,CB3,CC5,CD6,CE9
1,215,CA6,CB2,CC3,CD5,CE9
1,216,CA7,CB2,CC7,CD3,CE6
1,217,CA7,CB2,CC5,CD1,CE3
1,218,CA2,CB1,CC3,CD1,CE8
1,219,CA4,CB2,CC7,CD3,CE8
1,220,CA6,CB3,CC2,CD5,CE3
1,221,CA2,CB2,CC2,CD3,CE6
1,222,CA4,CB2,CC5,CD3,CE9
1,223,CA2,CB2,CC4,CD3,CE7
1,224,CA4,CB1,CC4,CD3,CE7
1,225,CA1,CB2,CC2,CD3,CE4
1,226,CA7,CB2,CC2,CD3,CE5
1,227,CA1,CB3,CC3,CD5,CE8
1,228,CA5,CB2,CC7,CD5,CE7
1,229,CA3,CB3,CC6,CD6,CE6
1,230,CA6,CB2,CC2,CD1,CE9
1,231,CA8,CB2,CC6,CD5,CE3
1,232,CA6,CB2,CC6,CD5,CE2
1,233,CA1,CB1,CC2,CD1,CE6
1,234,CA4,CB2,CC6,CD2,CE8
1,235,CA5,CB2,CC3,CD3,CE9
1,236,CA5,CB2,CC7,CD3,CE9
1,237,CA6,CB2,CC6,CD3,CE6
1,238,CA2,CB2,CC6,CD3,CE3
1,239,CA1,CB2,CC6,CD5,CE8
1,240,CA4,CB2,CC4,CD1,CE2
1,241,CA8,CB1,CC5,CD2,CE6
1,242,CA2,CB2,CC3,CD3,CE9
1,243,CA8,CB1,CC4,CD3,CE7
1,244,CA5,CB2,CC6,CD3,CE9
1,245,CA4,CB2,CC3,CD3,CE3
1,246,CA8,CB2,CC6,CD6,CE6
1,247,CA4,CB2,CC2,CD3,CE3
1,248,CA6,CB2,CC2,CD6,CE6
1,249,CA4,CB2,CC2,CD3,CE9
1,250,CA8,CB2,CC2,CD3,CE9
1,251,CA6,CB3,CC3,CD3,CE8
1,252,CA6,CB2,CC2,CD3,CE7
1,253,CA3,CB1,CC7,CD2,CE9
1,254,CA7,CB1,CC4,CD3,CE8
1,255,CA6,CB2,CC2,CD3,CE7
1,256,CA2,CB3,CC4,CD3,CE4
1,257,CA2,CB2,CC2,CD3,CE8
1,258,CA7,CB2,CC3,CD1,CE6
1,259,CA8,CB3,CC6,CD6,CE2
1,260,CA4,CB3,CC7,CD5,CE3
1,261,CA6,CB3,CC5,CD5,CE7
1,262,CA8,CB3,CC2,CD6,CE9
1,263,CA4,CB2,CC2,CD3,CE9
1,264,CA8,CB3,CC4,CD5,CE7
1,265,CA6,CB3,CC4,CD5,CE6
1,266,CA7,CB2,CC6,CD3,CE8
1,267,CA8,CB2,CC4,CD3,CE9
1,268,CA7,CB3,CC5,CD3,CE8
1,269,CA2,CB2,CC2,CD3,CE1
1,270,CA6,CB1,CC2,CD6,CE9
1,271,CA4,CB1,CC4,CD1,CE8
1,272,CA1,CB2,CC5,CD5,CE7
1,273,CA4,CB3,CC2,CD6,CE6
1,274,CA2,CB2,CC6,CD3,CE7
1,275,CA8,CB2,CC3,CD6,CE7
1,276,CA1,CB2,CC2,CD1,CE8
1,277,CA8,CB2,CC6,CD3,CE8
1,278,CA4,CB2,CC4,CD6,CE9
1,279,CA4,CB2,CC2,CD3,CE6
1,280,CA1,CB2,CC3,CD5,CE4
1,281,CA2,CB2,CC2,CD2,CE3
1,282,CA4,CB3,CC7,CD6,CE1
1,283,CA8,CB3,CC6,CD5,CE2
1,284,CA1,CB2,CC2,CD5,CE6
1,285,CA8,CB3,CC4,CD3,CE3
1,286,CA8,CB3,CC2,CD3,CE9
1,287,CA4,CB3,CC7,CD2,CE9
1,288,CA3,CB3,CC2,CD3,CE2
1,289,CA2,CB2,CC4,CD3,CE8
1,290,CA6,CB3,CC2,CD3,CE3
1,291,CA1,CB1,CC2,CD5,CE3
1,292,CA1,CB2,CC2,CD3,CE9
1,293,CA4,CB2,CC7,CD6,CE9
1,294,CA1,CB2,CC4,CD6,CE8
1,295,CA2,CB1,CC6,CD5,CE7
1,296,CA2,CB2,CC7,CD5,CE6
1,297,CA2,CB3,CC6,CD3,CE3
1,298,CA1,CB3,CC2,CD5,CE9
1,299,CA1,CB2,CC2,CD6,CE6
1,300,CA1,CB2,CC4,CD5,CE9
1,301,CA6,CB3,CC7,CD3,CE9
1,302,CA8,CB2,CC7,CD2,CE8
1,303,CA8,CB1,CC2,CD3,CE6
1,304,CA4,CB2,CC7,CD3,CE7
1,305,CA2,CB2,CC6,CD3,CE9
1,306,CA6,CB2,CC6,CD6,CE6
1,307,CA4,CB3,CC6,CD3,CE8
1,308,CA8,CB3,CC5,CD3,CE9
1,309,CA1,CB1,CC4,CD3,CE8
1,310,CA7,CB2,CC6,CD3,CE4
1,311,CA3,CB3,CC3,CD4,CE8
1,312,CA2,CB1,CC4,CD3,CE7
1,313,CA6,CB1,CC2,CD3,CE6
1,314,CA2,CB2,CC7,CD3,CE6
1,315,CA6,CB2,CC2,CD2,CE7
1,316,CA5,CB2,CC4,CD2,CE9
1,317,CA4,CB2,CC2,CD1,CE6
1,318,CA5,CB3,CC6,CD3,CE8
1,319,CA3,CB2,CC2,CD6,CE4
1,320,CA6,CB2,CC7,CD5,CE6
1,321,CA4,CB2,CC4,CD2,CE8
1,322,CA4,CB3,CC7,CD2,CE8
1,323,CA7,CB1,CC6,CD3,CE8
1,324,CA8,CB2,CC6,CD3,CE3
1,325,CA1,CB2,CC5,CD2,CE9
1,326,CA2,CB1,CC2,CD6,CE6
1,327,CA4,CB2,CC7,CD5,CE3
1,328,CA7,CB2,CC7,CD6,CE9
1,329,CA8,CB3,CC2,CD3,CE1
1,330,CA8,CB2,CC5,CD3,CE6
1,331,CA8,CB3,CC2,CD6,CE3
1,332,CA3,CB2,CC2,CD6,CE7
1,333,CA8,CB2,CC2,CD3,CE8
1,334,CA2,CB3,CC6,CD6,CE9
1,335,CA1,CB3,CC2,CD2,CE9
1,336,CA8,CB2,CC5,CD3,CE6
1,337,CA2,CB2,CC5,CD5,CE8
1,338,CA6,CB3,CC3,CD6,CE8
1,339,CA1,CB2,CC2,CD3,CE7
1,340,CA7,CB2,CC7,CD3,CE6
1,341,CA8,CB2,CC6,CD3,CE6
1,342,CA2,CB1,CC5,CD1,CE2
1,343,CA4,CB2,CC3,CD3,CE8
1,344,CA4,CB2,CC6,CD3,CE3
1,345,CA7,CB3,CC6,CD1,CE6
1,346,CA2,CB2,CC7,CD2,CE6
1,347,CA2,CB1,CC7,CD3,CE9
1,348,CA4,CB2,CC7,CD2,CE3
1,349,CA3,CB2,CC2,CD3,CE3
1,350,CA8,CB2,CC7,CD5,CE8
1,351,CA2,CB2,CC3,CD4,CE9
1,352,CA5,CB3,CC6,CD2,CE7
1,353,CA8,CB2,CC2,CD2,CE8
1,354,CA6,CB1,CC1,CD2,CE6
1,355,CA8,CB2,CC6,CD3,CE7
1,356,CA8,CB2,CC7,CD3,CE7
1,357,CA7,CB2,CC7,CD3,CE9
1,358,CA6,CB2,CC4,CD3,CE3
1,359,CA8,CB2,CC4,CD2,CE7
1,360,CA8,CB2,CC2,CD2,CE8
1,361,CA4,CB2,CC2,CD3,CE9
1,362,CA1,CB3,CC7,CD3,CE9
1,363,CA3,CB2,CC2,CD5,CE8
1,364,CA1,CB2,CC2,CD3,CE3
1,365,CA4,CB2,CC6,CD3,CE9
1,366,CA1,CB2,CC7,CD3,CE8
1,367,CA6,CB2,CC3,CD2,CE7
1,368,CA4,CB2,CC2,CD6,CE9
1,369,CA8,CB2,CC4,CD2,CE6
1,370,CA8,CB2,CC2,CD6,CE8
1,371,CA5,CB3,CC4,CD3,CE7
1,372,CA2,CB2,CC6,CD5,CE7
1,373,CA6,CB3,CC4,CD3,CE8
1,374,CA8,CB3,CC4,CD3,CE2
1,375,CA4,CB1,CC7,CD3,CE9
1,376,CA5,CB3,CC4,CD1,CE6
1,377,CA2,CB2,CC5,CD2,CE9
1,378,CA4,CB2,CC7,CD1,CE9
1,379,CA4,CB2,CC6,CD3,CE8
1,380,CA2,CB2,CC4,CD6,CE9
1,381,CA5,CB2,CC2,CD6,CE9
1,382,CA3,CB2,CC2,CD2,CE4
1,383,CA4,CB2,CC3,CD6,CE8
1,384,CA5,CB1,CC6,CD3,CE3
1,385,CA7,CB1,CC4,CD3,CE8
1,386,CA3,CB3,CC2,CD3,CE6
1,387,CA8,CB2,CC5,CD3,CE8
1,388,CA8,CB2,CC6,CD3,CE3
1,389,CA1,CB2,CC6,CD5,CE6
1,390,CA2,CB2,CC7,CD3,CE8
1,391,CA4,CB2,CC6,CD2,CE1
1,392,CA1,CB2,CC4,CD3,CE3
1,393,CA4,CB2,CC5,CD5,CE9
1,394,CA7,CB1,CC1,CD5,CE9
1,395,CA6,CB1,CC7,CD5,CE2
1,396,CA6,CB3,CC1,CD3,CE7
1,397,CA6,CB2,CC4,CD5,CE7
1,398,CA2,CB2,CC3,CD2,CE3
1,399,CA4,CB2,CC4,CD3,CE6
1,400,CA6,CB1,CC6,CD3,CE8
1,401,CA8,CB2,CC2,CD6,CE6
1,402,CA5,CB1,CC2,CD6,CE3
1,403,CA2,CB2,CC5,CD5,CE5
1,404,CA1,CB2,CC7,CD2,CE7
1,405,CA6,CB2,CC2,CD5,CE2
1,406,CA1,CB3,CC6,CD3,CE8
1,407,CA4,CB2,CC7,CD3,CE8
1,408,CA5,CB2,CC2,CD2,CE9
1,409,CA8,CB2,CC7,CD3,CE7
1,410,CA1,CB2,CC4,CD3,CE3
1,411,CA4,CB2,CC2,CD6,CE7
1,412,CA1,CB2,CC4,CD2,CE7
1,413,CA4,CB3,CC7,CD5,CE9
1,414,CA6,CB3,CC7,CD1,CE2
1,415,CA2,CB3,CC2,CD3,CE9
1,416,CA2,CB1,CC2,CD3,CE8
1,417,CA1,CB3,CC4,CD5,CE8
1,418,CA6,CB1,CC2,CD2,CE6
1,419,CA6,CB2,CC6,CD3,CE2
1,420,CA6,CB3,CC1,CD6,CE6
1,421,CA8,CB2,CC4,CD1,CE9
1,422,CA1,CB1,CC4,CD3,CE8
1,423,CA6,CB2,CC7,CD3,CE3
1,424,CA6,CB2,CC7,CD2,CE9
1,425,CA6,CB2,CC6,CD6,CE6
1,426,CA8,CB2,CC3,CD3,CE8
1,427,CA1,CB2,CC4,CD4,CE7
1,428,CA6,CB2,CC6,CD5,CE6
1,429,CA7,CB2,CC2,CD1,CE2
1,430,CA5,CB3,CC5,CD5,CE9
1,431,CA3,CB3,CC2,CD5,CE6
1,432,CA7,CB2,CC2,CD3,CE9
1,433,CA1,CB2,CC5,CD2,CE9
1,434,CA4,CB2,CC7,CD1,CE3
1,435,CA5,CB2,CC7,CD2,CE3
1,436,CA6,CB2,CC2,CD3,CE6
1,437,CA1,CB2,CC4,CD3,CE9
1,438,CA2,CB2,CC2,CD5,CE9
1,439,CA4,CB2,CC2,CD3,CE2
1,440,CA6,CB1,CC2,CD2,CE6
1,441,CA8,CB2,CC5,CD6,CE8
1,442,CA6,CB2,CC6,CD3,CE6
1,443,CA1,CB2,CC6,CD3,CE8
1,444,CA8,CB3,CC2,CD1,CE8
1,445,CA8,CB2,CC6,CD3,CE8
1,446,CA5,CB3,CC2,CD5,CE8
1,447,CA8,CB1,CC6,CD3,CE6
1,448,CA5,CB2,CC4,CD5,CE6
1,449,CA8,CB3,CC6,CD3,CE9
1,450,CA7,CB3,CC6,CD3,CE9
1,451,CA8,CB2,CC6,CD5,CE3
1,452,CA8,CB2,CC5,CD1,CE5
1,453,CA1,CB2,CC1,CD5,CE9
1,454,CA2,CB3,CC4,CD6,CE6
1,455,CA4,CB2,CC6,CD5,CE3
1,456,CA8,CB3,CC4,CD3,CE8
1,457,CA3,CB2,CC6,CD3,CE8
1,458,CA2,CB2,CC4,CD3,CE6
1,459,CA8,CB2,CC6,CD2,CE9
1,460,CA4,CB2,CC2,CD3,CE7
1,461,CA8,CB2,CC7,CD3,CE6
1,462,CA2,CB2,CC6,CD6,CE6
1,463,CA6,CB2,CC2,CD5,CE9
1,464,CA4,CB3,CC6,CD5,CE6
1,465,CA1,CB3,CC4,CD6,CE3
1,466,CA6,CB3,CC7,CD3,CE9
1,467,CA2,CB2,CC6,CD2,CE9
1,468,CA1,CB1,CC2,CD3,CE3
1,469,CA1,CB1,CC3,CD3,CE9
1,470,CA1,CB2,CC6,CD5,CE5
1,471,CA8,CB2,CC3,CD3,CE9
1,472,CA7,CB3,CC3,CD3,CE9
1,473,CA8,CB3,CC5,CD2,CE9
1,474,CA6,CB1,CC6,CD2,CE8
1,475,CA5,CB2,CC5,CD6,CE2
1,476,CA3,CB2,CC1,CD3,CE9
1,477,CA8,CB3,CC6,CD5,CE9
1,478,CA4,CB2,CC6,CD1,CE7
1,479,CA4,CB2,CC6,CD3,CE6
1,480,CA4,CB2,CC2,CD6,CE6
1,481,CA8,CB3,CC6,CD2,CE6
1,482,CA2,CB1,CC7,CD3,CE9
1,483,CA3,CB2,CC7,CD5,CE3
1,484,CA6,CB1,CC5,CD3,CE8
1,485,CA1,CB2,CC1,CD2,CE3
1,486,CA6,CB2,CC5,CD2,CE9
1,487,CA4,CB1,CC7,CD3,CE8
1,488,CA2,CB2,CC5,CD6,CE8
1,489,CA2,CB2,CC7,CD3,CE3
1,490,CA5,CB2,CC2,CD6,CE5
1,491,CA4,CB1,CC4,CD5,CE6
1,492,CA4,CB2,CC7,CD5,CE8
1,493,CA3,CB1,CC2,CD5,CE8
1,494,CA8,CB2,CC4,CD5,CE6
1,495,CA1,CB2,CC1,CD3,CE9
1,496,CA1,CB2,CC7,CD3,CE6
1,497,CA4,CB2,CC4,CD3,CE9
1,498,CA6,CB3,CC5,CD6,CE9
1,499,CA6,CB3,CC7,CD3,CE9
1,500,CA4,CB1,CC6,CD2,CE2
1,501,CA8,CB3,CC2,CD6,CE6
1,502,CA4,CB3,CC2,CD6,CE9
1,503,CA6,CB2,CC2,CD5,CE8
1,504,CA6,CB2,CC2,CD5,CE8
1,505,CA7,CB2,CC1,CD3,CE8
1,506,CA8,CB2,CC5,CD3,CE2
1,507,CA8,CB2,CC7,CD4,CE6
1,508,CA7,CB2,CC7,CD3,CE2
1,509,CA6,CB1,CC7,CD2,CE8
1,510,CA3,CB2,CC7,CD3,CE3
1,511,CA1,CB2,CC5,CD2,CE7
1,512,CA1,CB2,CC3,CD5,CE3
1,513,CA2,CB2,CC4,CD2,CE8
1,514,CA4,CB2,CC6,CD6,CE3
1,515,CA5,CB2,CC6,CD2,CE2
1,516,CA7,CB2,CC2,CD3,CE2
1,517,CA8,CB3,CC4,CD5,CE6
1,518,CA1,CB2,CC2,CD3,CE9
1,519,CA1,CB3,CC4,CD6,CE3
1,520,CA6,CB2,CC6,CD3,CE6
1,521,CA7,CB1,CC4,CD3,CE8
1,522,CA8,CB1,CC1,CD6,CE3
1,523,CA8,CB2,CC6,CD5,CE8
1,524,CA8,CB2,CC6,CD3,CE6
1,525,CA4,CB2,CC2,CD2,CE6
1,526,CA4,CB2,CC4,CD3,CE2
1,527,CA1,CB2,CC4,CD2,CE3
1,528,CA6,CB2,CC4,CD6,CE6
1,529,CA6,CB3,CC2,CD3,CE2
1,530,CA8,CB1,CC6,CD2,CE3
1,531,CA1,CB2,CC5,CD5,CE6
1,532,CA5,CB2,CC7,CD2,CE2
1,533,CA6,CB3,CC3,CD5,CE6
1,534,CA2,CB2,CC7,CD3,CE9
1,535,CA2,CB2,CC4,CD1,CE9
1,536,CA8,CB2,CC6,CD6,CE6
1,537,CA1,CB2,CC2,CD6,CE3
1,538,CA4,CB3,CC4,CD3,CE7
1,539,CA1,CB3,CC6,CD2,CE6
1,540,CA4,CB2,CC2,CD5,CE9
1,541,CA8,CB2,CC5,CD3,CE9
1,542,CA4,CB2,CC4,CD3,CE7
1,543,CA8,CB2,CC3,CD3,CE6
1,544,CA1,CB2,CC2,CD2,CE8
1,545,CA2,CB3,CC4,CD5,CE3
1,546,CA4,CB2,CC4,CD3,CE6
1,547,CA4,CB2,CC2,CD2,CE7
1,548,CA6,CB2,CC7,CD3,CE5
1,549,CA4,CB2,CC3,CD5,CE6
1,550,CA6,CB2,CC7,CD5,CE9
1,551,CA6,CB2,CC7,CD6,CE6
1,552,CA4,CB2,CC6,CD5,CE8
1,553,CA4,CB2,CC6,CD6,CE9
1,554,CA6,CB3,CC5,CD5,CE8
1,555,CA1,CB2,CC5,CD1,CE9
1,556,CA7,CB2,CC2,CD1,CE8
1,557,CA6,CB2,CC6,CD1,CE4
1,558,CA6,CB2,CC4,CD5,CE6
1,559,CA5,CB3,CC7,CD5,CE6
1,560,CA1,CB2,CC5,CD3,CE5
1,561,CA4,CB2,CC7,CD3,CE6
1,562,CA4,CB2,CC7,CD3,CE8
1,563,CA3,CB2,CC6,CD6,CE4
1,564,CA1,CB2,CC2,CD6,CE9
1,565,CA7,CB2,CC2,CD5,CE9
1,566,CA1,CB1,CC7,CD5,CE7
1,567,CA6,CB2,CC6,CD2,CE3
1,568,CA6,CB2,CC7,CD2,CE6
1,569,CA6,CB3,CC2,CD3,CE8
1,570,CA8,CB1,CC4,CD5,CE5
1,571,CA1,CB2,CC3,CD3,CE7
1,572,CA8,CB2,CC2,CD5,CE3
1,573,CA1,CB2,CC7,CD3,CE8
1,574,CA5,CB3,CC2,CD3,CE8
1,575,CA4,CB2,CC6,CD6,CE8
1,576,CA5,CB3,CC6,CD2,CE6
1,577,CA4,CB1,CC5,CD5,CE6
1,578,CA2,CB3,CC7,CD1,CE7
1,579,CA1,CB3,CC6,CD5,CE9
1,580,CA5,CB2,CC7,CD5,CE3
1,581,CA8,CB2,CC6,CD6,CE9
